Time,Open,High,Low,Last,Change,Volume
6/9/2020,68.201,68.93301,68.078,68.556,0.354,50704
6/10/2020,68.564,68.916,68.202,68.437,-0.119,47474
6/11/2020,68.437,70.191,68.398,70.109,1.672,54107
6/12/2020,70.11,70.165,69.182,69.723,-0.386,15630
6/15/2020,69.72,70.512,69.542,69.542,-0.181,55529
6/16/2020,69.541,69.912,69.172,69.623,0.081,61716
6/17/2020,69.623,69.874,69.327,69.716,0.093,53541
6/18/2020,69.715,69.927,69.145,69.847,0.131,56174
6/19/2020,69.848,69.914,69.17001,69.391,-0.456,44964
6/22/2020,69.41,69.67001,68.96,69.086,-0.305,38294
6/23/2020,69.086,69.50301,68.54,68.826,-0.26,40891
6/24/2020,68.822,69.596,68.67101,69.535,0.709,14423
6/25/2020,69.535,69.678,68.993,69.026,-0.509,49134
6/26/2020,69.029,69.967,68.97701,69.742,0.716,37097
6/29/2020,69.742,70.425,69.592,69.974,0.232,42560
6/30/2020,69.975,71.317,69.975,71.167,1.193,43679
7/1/2020,71.167,71.167,70.527,70.749,-0.418,14580
7/2/2020,70.735,70.735,70.178,70.547,-0.202,43061
7/3/2020,70.55,71.6,70.225,71.394,0.847,36747
7/6/2020,71.389,72.081,70.785,71.77801,0.38401,50461
7/7/2020,71.777,72.293,71.229,71.411,-0.36701,48227
7/8/2020,71.402,71.651,71.026,71.145,-0.266,43792
7/9/2020,71.145,71.283,70.479,70.815,-0.33,42689
7/10/2020,70.816,71.414,70.636,70.695,-0.12,45310
7/13/2020,70.705,71.004,70.493,70.947,0.252,36959
7/14/2020,70.95,71.32,70.729,70.928,-0.019,48999
7/15/2020,70.929,71.10201,70.635,70.952,0.024,42707
7/16/2020,70.947,71.536,70.71,71.522,0.57,36934
7/17/2020,71.521,71.974,71.409,71.846,0.324,34675
7/20/2020,71.849,72.12,71.312,71.387,-0.459,38147
7/21/2020,71.387,71.45,70.50301,70.645,-0.742,38347
7/22/2020,70.644,71.236,70.591,71.05801,0.41301,46186
7/23/2020,71.05801,71.609,70.814,71.404,0.34599,46844
7/24/2020,71.405,71.98,71.271,71.647,0.243,47070
7/27/2020,71.65301,71.922,71.418,71.566,-0.081,37630
7/28/2020,71.565,72.642,71.478,72.491,0.925,45576
7/29/2020,72.491,72.787,72.06,72.53201,0.04101,39894
7/30/2020,72.533,73.769,72.436,73.066,0.53399,52338
7/31/2020,73.068,74.456,73.068,74.316,1.25,45185
8/3/2020,74.319,74.566,73.067,73.081,-1.235,47541
8/4/2020,73.082,74.012,72.899,73.35101,0.27001,49932
8/5/2020,73.359,73.527,72.609,72.899,-0.45201,49217
8/6/2020,72.904,73.593,72.66,73.287,0.388,49052
8/7/2020,73.292,73.905,73.161,73.668,0.381,49185
8/10/2020,73.668,73.988,73.21301,73.41,-0.258,43053
8/11/2020,73.41,73.553,72.679,73.05,-0.36,50961
8/12/2020,73.049,73.81,72.994,73.626,0.576,48016
8/13/2020,73.626,73.818,72.87,72.87,-0.756,43572
8/14/2020,72.869,73.467,72.773,72.845,-0.025,40050
8/17/2020,72.855,73.788,72.76501,73.65701,0.81201,44495
8/18/2020,73.65701,73.703,72.926,73.093,-0.56401,46899
8/19/2020,73.093,73.549,72.974,73.187,0.094,39328
8/20/2020,73.193,74.126,73.193,73.783,0.596,45459
8/21/2020,73.785,74.992,73.651,74.764,0.981,46912
8/24/2020,74.763,74.94,74.151,74.557,-0.207,37948
8/25/2020,74.565,75.666,74.315,75.194,0.637,41172
8/26/2020,75.193,75.981,75.149,75.384,0.19,43220
8/27/2020,75.401,75.673,74.714,74.911,-0.473,49619
8/28/2020,74.911,75.02,73.98,74.041,-0.87,43789
8/31/2020,74.04601,74.449,73.594,73.962,-0.079,41019
9/1/2020,73.96,73.96,73.349,73.64001,-0.32199,41651
9/2/2020,73.641,75.698,73.456,75.254,1.61399,47866
9/3/2020,75.268,75.825,74.861,75.234,-0.02,51139
9/4/2020,75.235,75.607,74.922,75.347,0.113,50085
9/7/2020,75.345,76.23901,75.33401,75.70901,0.36201,43866
9/8/2020,75.711,76.562,75.61,76.257,0.54799,55234
9/9/2020,76.243,76.407,75.302,75.304,-0.953,51988
