Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2020-11-10T05:00:00Z,SPY,353.52,281,Market On Open,Filled,99339.12, 
2020-11-11T05:00:00Z,SPY,356.43,-281,Market On Open,Filled,-100156.83,Liquidated 
2020-11-12T05:00:00Z,SPY,355.57,281,Market On Open,Filled,99915.17, 
2020-11-13T05:00:00Z,SPY,355.3,-281,Market On Open,Filled,-99839.3,Liquidated 
2020-11-14T05:00:00Z,SPY,361.1,280,Market On Open,Filled,101108, 
2020-11-17T05:00:00Z,SPY,359.97,-280,Market On Open,Filled,-100791.6,Liquidated 
2020-11-18T05:00:00Z,SPY,360.98,277,Market On Open,Filled,99991.46, 
2020-11-19T05:00:00Z,SPY,355.68,-277,Market On Open,Filled,-98523.36,Liquidated 
2020-11-20T05:00:00Z,SPY,357.45,275,Market On Open,Filled,98298.75, 
2020-11-21T05:00:00Z,SPY,357.25,-275,Market On Open,Filled,-98243.75,Liquidated 
2020-11-24T05:00:00Z,SPY,360.3,275,Market On Open,Filled,99082.5, 
2020-11-25T05:00:00Z,SPY,0,-275,Market On Open,Canceled,0,Liquidated 
2020-11-26T05:00:00Z,SPY,0,-275,Market On Open,Submitted,0,Liquidated 
