Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
EFA,ETF,0.34%,$0.55,2.56%,"$52,612.30 ",791.4," 15,583,182 ", 1.08 ,,,,,,,,,,,,,
VWO,ETF,0.18%,$0.35,3.35%,"$46,212.70 ",1140.2," 18,040,120 ", (1.75),,,,,,,,,,,,,
QQQ,UIT,0.20%,$0.27,1.02%,"$44,956.70 ",513.9," 31,501,536 ", 1.13 ,,,,,,,,,,,,,
EEM,ETF,0.67%,$0.37,2.12%,"$39,921.00 ",971.6," 61,249,064 ", (1.88),,,,,,,,,,,,,
VTI,ETF,0.05%,$0.43,1.80%,"$38,812.50 ",406.3," 2,770,025 ", 1.00 ,,,,,,,,,,,,,
GLD,Grantor Trust,0.40%,,,"$30,898.60 ",266," 8,058,522 ", (1.87),,,,,,,,,,,,,
IJH,ETF,0.15%,$0.48,1.30%,"$22,539.10 ",169.2," 1,282,466 ", 1.20 ,,,,,,,,,,,,,
VIG,ETF,0.10%,$0.36,1.98%,"$19,370.30 ",258.2," 793,563 ", 1.01 ,,,,,,,,,,,,,
VEA,ETF,0.12%,$0.16,2.95%,"$18,903.50 ",458," 3,364,462 ", 1.08 ,,,,,,,,,,,,,
BND,ETF,0.10%,$0.18,2.49%,"$17,845.70 ",223.3," 1,386,830 ", (0.36),,,,,,,,,,,,,
VNQ,ETF,0.10%,$0.62,3.98%,"$17,530.60 ",270.5," 2,913,183 ", (1.37),,,,,,,,,,,,,
XLF,ETF,0.18%,$0.10,1.95%,"$17,013.30 ",781.1," 38,211,484 ", 1.36 ,,,,,,,,,,,,,
MDY,UIT,0.25%,$0.71,1.41%,"$15,413.60 ",63.5," 2,517,820 ", 1.19 ,,,,,,,,,,,,,
LQD,ETF,0.15%,$0.37,3.86%,"$15,395.50 ",135.5," 1,650,139 ", 0.53 ,,,,,,,,,,,,,
AGG,ETF,0.08%,$0.19,2.34%,"$15,196.40 ",143.2," 1,240,811 ", (0.33),,,,,,,,,,,,,
HYG,ETF,0.50%,$0.45,6.17%,"$15,112.90 ",163.4," 3,439,759 ", 0.33 ,,,,,,,,,,,,,
VOO,ETF,0.05%,$0.39,0.93%,"$14,785.70 ",87.8," 1,443,067 ", 1.06 ,,,,,,,,,,,,,
IJR,ETF,0.16%,$0.35,1.00%,"$14,230.30 ",130.4," 934,519 ", 1.36 ,,,,,,,,,,,,,
BSV,ETF,0.11%,$0.07,1.16%,"$13,920.60 ",174.3," 951,534 ", (0.15),,,,,,,,,,,,,
VGK,ETF,0.12%,$0.20,3.06%,"$13,517.70 ",232.1," 3,929,425 ", 1.19 ,,,,,,,,,,,,,
VUG,ETF,0.10%,$0.28,1.28%,"$13,192.20 ",142.6," 518,092 ", 1.01 ,,,,,,,,,,,,,
XLK,ETF,0.18%,$0.17,2.18%,"$13,086.20 ",368.1," 6,859,021 ", 0.94 ,,,,,,,,,,,,,
DIA,UIT,0.16%,$0.40,2.34%,"$12,700.30 ",77.2," 6,758,776 ", 0.94 ,,,,,,,,,,,,,
TIP,ETF,0.20%,$0.09,1.16%,"$12,571.00 ",114.5," 620,444 ", (0.51),,,,,,,,,,,,,
SDY,ETF,0.35%,$0.40,2.42%,"$12,548.10 ",173.1," 678,911 ", (1.09),,,,,,,,,,,,,
VTV,ETF,0.10%,$0.42,2.22%,"$12,385.20 ",162.7," 534,259 ", 1.05 ,,,,,,,,,,,,,
CSJ,ETF,0.20%,$0.09,1.22%,"$11,709.30 ",111.4," 564,245 ", 0.10 ,,,,,,,,,,,,,
VEU,ETF,0.15%,$0.22,3.01%,"$11,341.40 ",226.2," 1,013,231 ", 1.12 ,,,,,,,,,,,,,
JNK,ETF,0.40%,$0.20,6.12%,"$9,932.00 ",246," 4,194,625 ", 0.32 ,,,,,,,,,,,,,
XLI,ETF,0.18%,$0.26,2.22%,"$9,731.30 ",187.2," 9,086,322 ", 1.13 ,,,,,,,,,,,,,
XLV,ETF,0.18%,$0.23,1.92%,"$8,422.30 ",152.2," 5,667,641 ", 1.24 ,,,,,,,,,,,,,
PFF,ETF,0.48%,$0.24,5.66%,"$8,350.50 ",227.1," 1,632,675 ", (0.72),,,,,,,,,,,,,
SHY,ETF,0.15%,$0.02,0.26%,"$8,208.20 ",97.3," 1,022,969 ", (0.06),,,,,,,,,,,,,
VB,ETF,0.10%,$1.42,1.31%,"$8,175.90 ",74.6," 385,706 ", 1.24 ,,,,,,,,,,,,,
XLE,ETF,0.18%,$0.40,2.15%,"$7,939.40 ",89.9," 10,297,463 ", 1.18 ,,,,,,,,,,,,,
XLY,ETF,0.18%,$0.26,1.63%,"$7,601.50 ",114.7," 5,324,920 ", 1.23 ,,,,,,,,,,,,,
AMLP,ETF,0.85%,$0.27,6.06%,"$7,481.70 ",424.6," 2,846,572 ", 0.84 ,,,,,,,,,,,,,
VCSH,ETF,0.12%,$0.12,2.00%,"$7,384.20 ",93," 596,086 ", (0.19),,,,,,,,,,,,,
VYM,ETF,0.10%,$0.44,2.75%,"$7,246.10 ",116.5," 507,270 ", 0.97 ,,,,,,,,,,,,,
XLP,ETF,0.18%,$0.32,3.33%,"$6,755.20 ",157.7," 7,790,814 ", 1.05 ,,,,,,,,,,,,,
VO,ETF,0.10%,$1.27,1.18%,"$6,674.00 ",61.1," 262,795 ", 1.06 ,,,,,,,,,,,,,
RSP,ETF,0.40%,$0.25,1.68%,"$6,490.70 ",91.5," 795,787 ", 1.03 ,,,,,,,,,,,,,
BKLN,ETF,0.66%,$0.08,4.41%,"$6,400.80 ",258.2," 2,513,894 ", 0.14 ,,,,,,,,,,,,,
IAU,Grantor Trust,0.25%,,,"$6,388.90 ",542.4," 4,865,481 ", (1.86),,,,,,,,,,,,,
SLV,Grantor Trust,0.50%,,,"$6,374.00 ",332.5," 7,634,862 ", (2.82),,,,,,,,,,,,,
AMJ,ETN,0.85%,$0.58,3.53%,"$5,848.10 ",126.5," 584,325 ", 1.17 ,,,,,,,,,,,,,
DBC,Commodity Pool,0.93%,$0.34,,"$5,535.80 ",215.4," 2,319,320 ", 0.76 ,,,,,,,,,,,,,
CIU,ETF,0.20%,$0.24,2.78%,"$5,366.70 ",49.9," 459,173 ", (0.26),,,,,,,,,,,,,
ACWI,ETF,0.35%,$0.46,1.92%,"$5,220.70 ",91.8," 1,345,256 ", 1.05 ,,,,,,,,,,,,,
MBB,ETF,0.31%,$0.14,1.14%,"$5,187.70 ",49.6," 587,870 ", (0.36),,,,,,,,,,,,,
FEZ,ETF,0.29%,$0.19,3.17%,"$4,910.70 ",117.2," 1,865,980 ", 1.49 ,,,,,,,,,,,,,
XLU,ETF,0.18%,$0.40,4.94%,"$4,819.70 ",127.6," 10,609,830 ", (1.10),,,,,,,,,,,,,
VV,ETF,0.10%,$0.38,1.79%,"$4,670.40 ",55.3," 164,020 ", 1.02 ,,,,,,,,,,,,,
